iter	Passed	Remaining
0	41	41475
1	65	32892
2	79	26503
3	91	22769
4	102	20489
5	117	19441
6	133	18961
7	149	18545
8	167	18399
9	179	17740
10	191	17231
11	203	16768
12	225	17129
13	247	17444
14	265	17447
15	277	17088
16	289	16728
17	300	16400
18	313	16176
19	329	16155
20	342	15987
21	355	15804
22	371	15771
23	382	15552
24	402	15715
25	418	15667
26	434	15646
27	453	15753
28	473	15845
29	487	15750
30	499	15606
31	513	15523
32	528	15490
33	542	15426
34	562	15508
35	574	15377
36	587	15281
37	601	15237
38	616	15202
39	633	15192
40	649	15186
41	666	15197
42	677	15078
43	689	14980
44	702	14908
45	713	14787
46	728	14767
47	741	14711
48	762	14798
49	775	14729
50	786	14633
51	800	14589
52	812	14509
53	831	14575
54	850	14609
55	868	14641
56	895	14810
57	915	14863
58	929	14819
59	944	14796
60	961	14805
61	973	14723
62	985	14650
63	998	14597
64	1009	14527
65	1027	14539
66	1044	14543
67	1061	14542
68	1074	14498
69	1085	14424
70	1100	14404
71	1115	14374
72	1129	14340
73	1149	14378
74	1164	14365
75	1178	14322
76	1189	14253
77	1201	14196
78	1213	14143
79	1233	14184
80	1251	14204
81	1267	14193
82	1280	14149
83	1293	14103
84	1304	14042
85	1319	14023
86	1333	13999
87	1349	13982
88	1361	13939
89	1375	13905
90	1389	13882
91	1403	13847
92	1416	13814
93	1440	13881
94	1458	13893
95	1472	13869
96	1484	13822
97	1498	13790
98	1512	13768
99	1528	13752
100	1547	13770
101	1565	13781
102	1578	13746
103	1593	13732
104	1608	13709
105	1623	13693
106	1670	13944
107	1691	13967
108	1704	13930
109	1722	13933
110	1739	13933
111	1760	13958
112	1774	13929
113	1788	13897
114	1800	13855
115	1817	13848
116	1830	13814
117	1847	13812
118	1866	13816
119	1881	13800
120	1895	13770
121	1907	13729
122	1923	13711
123	1937	13686
124	1951	13657
125	1965	13630
126	1975	13581
127	1989	13552
128	2004	13533
129	2018	13511
130	2037	13518
131	2058	13535
132	2075	13528
133	2093	13526
134	2107	13502
135	2124	13497
136	2142	13498
137	2155	13461
138	2172	13456
139	2184	13418
140	2195	13375
141	2211	13361
142	2225	13338
143	2241	13324
144	2253	13285
145	2272	13292
146	2285	13262
147	2299	13239
148	2313	13211
149	2325	13178
150	2341	13166
151	2352	13126
152	2368	13114
153	2385	13106
154	2400	13084
155	2417	13079
